Property List,,,,,
ID,Open,Parcel Number,Address,Description,Project Area
489,Open,5144-009-079,755 S. Figueroa St.,<div>Citicorp Plaza parking facility.</div>,City Center
389,Open,7451-018-021,303 S. Pacific Ave,<div>Commercial property on the Pacific Corridor. &nbsp;Brownsfields parcel with cleanup funding from TI. &nbsp;&nbsp;Cleanup not started.</div>,City Center
123,Open,5137-030-916,1423 W 012 St,<div>Crescent Court Townhomes Loan 871796. &nbsp;Existing 30-year lease set to expire.</div>,City Center
184,Open,5168-010-919,2323 E 15Th St,"<div>Crown Coach former railyard. &nbsp;Parcel has metals and VOC contamination, with cleanup funding from former owner and HUD BEDI grant.</div>",City Center
192,Open,5168-010-918,2468 E 16Th St,"<div>Crown Coach, Remnant Parcel. &nbsp;Across the street from the larger Crown Coach property. &nbsp;Crown Coach former railyard. &nbsp;Parcel has metals and VOC contamination, with cleanup funding from former owner and HUD BEDI grant.</div>",Adelante Eastside
375,Open,5168-010-921,2449 E 16Th St,"<div>Crown Coach, Remnant Parcel. &nbsp;Purchased along with APN 5168-010-918. &nbsp;Crown Coach former railyard. &nbsp;Parcel has metals and VOC contamination, with cleanup funding from former owner and HUD BEDI grant.</div>",Little Tokyo
442,Open,5078-017-901,1047 & 1053 S MARIPOSA AVE,<div>Former 5-unit duplexes and one single family unit. &nbsp;Structures demolished.</div>,North Hollywood
442,Open,5078-017-900,1047 & 1053 S MARIPOSA AVE,<div>Former 5-unit duplexes and one single family unit. &nbsp;Structures demolished.</div>,Pico Union 2
90,Open,5049-016-908,2515 S Sycamore Ave,"<div>Former 8 unit residential building, now demolished. &nbsp;Acquired with CDBG funds.</div>",Pico Union 1
433,Open,5049-016-906,2535 S SYCAMORE AVE                    ,"<div>Former 8-unit residential building, now demolished.</div>",Pico Union 1
334,Open,5127-029-902,206 E WASHINGTON BLVD,"<div>Former La Opinion Structure. &nbsp;206 East Washington, 1918 South Los Angeles St</div>",
334,Open,5127-029-903,206 E WASHINGTON BLVD,"<div>Former La Opinion Structure. &nbsp;206 East Washington, 1918 South Los Angeles St</div>",Adams/Normandie
334,Open,5127-029-904,206 E WASHINGTON BLVD,"<div>Former La Opinion Structure. &nbsp;206 East Washington, 1918 South Los Angeles St</div>",Council District 9
475,Open,5174-018-900,110 S BOYLE AVE,"<div>Former Laundromat, since been demolished. &nbsp;</div>",Adelante Eastside
223,Open,6007-005-900,812 E 59Th St,<div>Goodyear industrial tract property improved with 2 adjoining bldgs. &nbsp;Brownsfields site with cleanup funding from TI.</div>,Adelante Eastside
261,Open,5053-026-911,1806 W 27Th St,<div>Halldale Park</div>,Adelante Eastside
261,Open,5053-026-902,1806 W 27Th St,<div>Halldale Park</div>,Pico Union 1
261,Open,5053-026-903,1806 W 27Th St,<div>Halldale Park</div>,Pico Union 1
261,Open,5053-026-905,1806 W 27Th St,<div>Halldale Park</div>,Hollywood
261,Open,5053-026-906,1806 W 27Th St,<div>Halldale Park</div>,Pacoima/Panorama City
261,Open,5053-026-907,1806 W 27Th St,<div>Halldale Park</div>,Hollywood
261,Open,5053-026-908,1806 W 27Th St,<div>Halldale Park</div>,CBD Amended
261,Open,5053-026-901,1806 W 27Th St,<div>Halldale Park</div>,Pico Union 1
261,Open,5053-026-910,1806 W 27Th St,<div>Halldale Park</div>,Watts
261,Open,5053-026-904,1806 W 27Th St,<div>Halldale Park</div>,CBD Amended
261,Open,5053-026-913,1806 W 27Th St,<div>Halldale Park</div>,CBD Amended
261,Open,5053-026-914,1806 W 27Th St,<div>Halldale Park</div>,Hollywood
261,Open,5053-026-915,1806 W 27Th St,<div>Halldale Park</div>,Pico Union 1
261,Open,5053-026-917,1806 W 27Th St,<div>Halldale Park</div>,Pico Union 1
261,Open,5053-026-918,1806 W 27Th St,<div>Halldale Park</div>,Pico Union 1
261,Open,5053-026-919,1806 W 27Th St,<div>Halldale Park</div>,Pico Union 1
261,Open,5053-026-909,1806 W 27Th St,<div>Halldale Park</div>,Pico Union 1
261,Open,5053-026-900,1806 W 27Th St,<div>Halldale Park</div>,Hollywood
275,Open,6053-006-053,9426 S Broadway,<div>Heavenly Vision Housing. Heavenly Vision Economic as owner per Assessor - CRA maintains ground lease &amp; loan on property.</div>,Hollywood
243,Open,5141-001-904,634 S Alvarado St,<div>Historical Westlake Theatre. Currently utilized as a swap meet. &nbsp;Beginning discussions with developer.</div>,CBD Amended
218,Open,6006-030-901,5888 Crocker St,"<div>Industrial plating shop. &nbsp;Purchased along with 6006-030-005 &amp; 006, located at 5879-5887 Crocker. &nbsp;Brownsfields site with cleanup funding from TI.</div>",Pico Union 1
173,Open,5149-036-016,546 S Spring St,<div>LA Garage &nbsp;parking. &nbsp;Property to be sold.</div>,Vermont Manchester
494,Open,6065-022-903,Grandee/Willowbrook Ave.,<div>MTA Traction Control Station</div>,Watts
494,Open,6065-022-902,Grandee/Willowbrook Ave.,<div>MTA Traction Control Station</div>,Watts Corridors
494,Open,6065-022-901,Grandee/Willowbrook Ave.,<div>MTA Traction Control Station</div>,Hollywood
488,Open,5502-025-900,601 South Vermont Ave.,<div>Municpal Parking Lot 692 (100602). &nbsp;In process of purchasing from DOT.</div>,Hollywood
269,Open,6048-012-930,1501 E 103rd St,"<div>Old Watts Library site, currently used for storage.</div>",Hollywood
378,Open,5059-003-901,4337 W Adams Blvd,"<div>Parcel of land that includes a vacant, partially demolished I story improvement.</div>",Hollywood
152,Open,5147-024-901,557 Crocker St,"<div>Parking lot, used for transitional housing.</div>",Normandie 5
152,Open,5147-024-900,557 Crocker St,"<div>Parking lot, used for transitional housing.</div>",Normandie 5
294,Open,6065-023-903,Graham/Grandee Ave.,<div>Plaza in fron of train station; land for pedestrian overpass</div>,Normandie 5
294,Open,6065-023-900,Graham/Grandee Ave.,<div>Plaza in fron of train station; land for pedestrian overpass</div>,Normandie 5
294,Open,6065-023-911,Graham/Grandee Ave.,<div>Plaza in fron of train station; land for pedestrian overpass</div>,Normandie 5
294,Open,6065-023-910,Graham/Grandee Ave.,<div>Plaza in fron of train station; land for pedestrian overpass</div>,Normandie 5
239,Open,5546-016-900,1357 Vine St,"<div>Project stalled due to economy, probably 5 years away from project start. &nbsp;Will make offer to AMAS to purchase, otherwise may need to convey or potentially liquidate.</div>",Normandie 5
87,Open,5046-004-900,3900 W Jefferson Blvd,"<div>Recyling Center and Automotive Repair. &nbsp;Brownsfields property with cleanup funding from TI, OSCR, and CDBG.</div>",Normandie 5
87,Open,5046-004-901,3900 W Jefferson Blvd,"<div>Recyling Center and Automotive Repair. &nbsp;Brownsfields property with cleanup funding from TI, OSCR, and CDBG.</div>",Normandie 5
87,Open,5046-004-902,3900 W Jefferson Blvd,"<div>Recyling Center and Automotive Repair. &nbsp;Brownsfields property with cleanup funding from TI, OSCR, and CDBG.</div>",Normandie 5
44,Open,2119-020-900,18447 Sherman Way,<div>Reseda Theater (Vacant) plus additional parking.</div>,Normandie 5
177,Open,5161-012-014,110 S San Pedro St,"<div>San Pedro Firm Apts. &nbsp;CRA/LA owns land, with lease that expires 12/31/2044.</div>",Normandie 5
434,Open,5051-005-901,4314 W ADAMS BLVD,<div>Self Serve Car Wash Operation.</div>,Normandie 5
434,Open,5051-005-902,4314 W ADAMS BLVD,<div>Self Serve Car Wash Operation.</div>,Normandie 5
386,Open,5544-002-900,1816 N Wilton Place,"<div>SFR acquired through foreclosure. &nbsp;Currently vacant, but will be turn over to non profit for transitional housing. CRA as owner per Assessor</div>",Normandie 5
290,Open,6065-022-900,1663 E 108th St,<div>Small piece of land purchased from the railroad in 2003. &nbsp;Originally intended to be part of MTA Park &amp; Ride lot. &nbsp;</div>,Normandie 5
376,Open,2125-036-900,18128 Sherman Way,<div>Small retail strip center.</div>,Normandie 5
279,Open,6053-006-904,9513 S Spring St,<div>Small vacant lot for proposed pocket park.</div>,Normandie 5
160,Open,5149-010-023,420 W. 2nd Street,"<div>Surface over 2nd St. tunnes - leased by Automate Parking, Inc. &nbsp;</div>",Normandie 5
5,Open,2350-017-904,5203 Lankershim Blvd,"<div>The Arts &nbsp;Park. &nbsp;40% of parcel used for outdoor dining for adjacent Pitfire Pizza, also used as patio for public use. &nbsp;Parcel is fully landscaped and contains community kiosk.</div>",Reseda/Canoga Park
310,Open,7424-014-904,Mcfarland Ave / E. E Street,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Reseda/Canoga Park
310,Open,7424-014-902,Mcfarland Ave / E. E Street,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Wilshire Center / Koreatown
310,Open,7424-014-905,Mcfarland Ave / E. E Street,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Reseda/Canoga Park
310,Open,7424-014-912,Mcfarland Ave / E. E Street,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Reseda/Canoga Park
310,Open,7424-014-901,Mcfarland Ave / E. E Street,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Watts
310,Open,7424-014-900,Mcfarland Ave / E. E Street,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Reseda/Canoga Park
310,Open,7424-014-906,Mcfarland Ave / E. E Street,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Adelante Eastside
310,Open,7424-014-908,Mcfarland Ave / E. E Street,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Normandie 5
310,Open,7424-014-909,Mcfarland Ave / E. E Street,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Adams/Normandie
310,Open,7424-014-911,Mcfarland Ave / E. E Street,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Central Industrial
310,Open,7424-014-913,Mcfarland Ave / E. E Street,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Bunker Hill
310,Open,7424-014-914,Mcfarland Ave / E. E Street,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Council District 9
310,Open,7424-014-915,Mcfarland Ave / E. E Street,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Council District 9
310,Open,7424-014-907,Mcfarland Ave / E. E Street,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Council District 9
310,Open,7424-014-903,Mcfarland Ave / E. E Street,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Bunker Hill
310,Open,7424-014-916,Mcfarland Ave / E. E Street,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Broadway/Manchester
310,Open,7424-014-917,Mcfarland Ave / E. E Street,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Broadway/Manchester
310,Open,7424-014-910,Mcfarland Ave / E. E Street,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Broadway/Manchester
215,Open,6002-030-906,6300 S Western Ave,<div>Vacant land. Parcel has gas station contamination with EPA Brownsfield cleanup grant.</div>,Broadway/Manchester
205,Open,5302-010-923,4500 E Via Marisol,<div>Vacant land-parcel S. &nbsp;Contains hillsides that require regular brush clearnance.</div>,Broadway/Manchester
6,Open,2350-018-915,11115 McCormick St,"<div>Vacant lot, small remnant parcel from NoHo project.</div>",Broadway/Manchester
224,Open,6007-016-014,6900 Stanford Ave,"<div>Vacant parcel of land. &nbsp;Former transformer repair facilities with VOCS and PCBs contamination. &nbsp;Cleanup funding from CRA, CDBG and owner.</div>",Broadway/Manchester
345,Open,2337-035-900,5623/5633 Elmer Ave,<div>Vacant parcel to be developed as 10-unit affordable homeownership housing project.</div>,Broadway/Manchester
345,Open,2337-035-901,5623/5633 Elmer Ave,<div>Vacant parcel to be developed as 10-unit affordable homeownership housing project.</div>,Broadway/Manchester
374,Open,2111-029-906,7330 N Canoga Ave,<div>Vacant parcel used for parking.</div>,Broadway/Manchester
338,Open,5169-028-901,2750 E Washington Blvd,"<div>Vacant Parcel, former Alameda Corridor transit Authority Site. &nbsp;Brownsfields site, cleanup underway with funding from TI and CDBG.</div>",Broadway/Manchester
52,Open,2513-006-900,13574 W Foothill Blvd,<div>Vacant parcel. &nbsp;</div>,Broadway/Manchester
265,Open,6037-001-900,1636 W Manchester Ave,<div>Vacated Manchester Library site for proposed commercial development.</div>,Broadway/Manchester
23,Open,5134-012-901,1515 S Hope St,<div>Villa De Esperanza plus park and playground</div>,Bunker Hill
23,Open,5134-012-900,1515 S Hope St,<div>Villa De Esperanza plus park and playground</div>,Bunker Hill
268,Open,6048-012-027,10221 S Compton Ave,"<div>Watts Civic Center, ground lease through 2040. &nbsp;CRA/LA owns property, tenant owns improvements - reverts to CRA/LA at end of lease.</div>",Bunker Hill
116,Open,5137-024-924,1119 Albany St                     ,1 bedroom Condominium-VISTA MONTOYA,Council District 9
116,Open,5137-024-927,1119 Albany St                     ,1 bedroom Condominium-VISTA MONTOYA,Central Industrial
193,Open,5179-014-900,3551 E 4Th St,2 unit Multi-Family Residential,Mid-City
88,Open,5049-009-900,2528  S. Orange Drive,2 units residential,Mid-City
91,Open,5049-016-907,2520 Alsace Ave,3 units residential,Mid-City
439,Open,5077-008-016,3055 WILSHIRE BLVD,"3055 WILSHIRE LLC as owner per Assessor - location of CRA's Central site office, keep in Risk Management list.",Bunker Hill
211,Open,5546-017-905,6404 Homewood Ave,"5000 sq ft and contains small structure where Thomas Tops upholstery repair business is located.  Also known as 6404 Homewood Ave, Los Angeles CA.",Central Industrial
191,Open,5168-010-920,2455 E Washington Blvd,"5168-010-908 has been combined into one parcel by assessor, now 5168-010-920. Vacant land",Mid-City
419,Open,2350-018-079,5200 LANKERSHIM BLVD,5200 LANKERSHIM LLC as owner per Assessor - tied to development on APN 2350015115 above,Mid-City
226,Open,6012-009-902,6901 S Main St,8 unit apartment building and is vacant.,Central Industrial
225,Open,6012-009-901,6905 S Main St,8 unit apartment building and is vacant.,Central Industrial
449,Open,5131-026-029,1011 E ADAMS BLVD,ADAMS 935 L P as owner per Assessor - CRA holds commercial use easement on property only.,Bunker Hill
449,Open,5131-026-028,1011 E ADAMS BLVD,ADAMS 935 L P as owner per Assessor - CRA holds commercial use easement on property only.,Mid-City
31,Open,5136-018-902,1115 S Alvarado St,"Agency foreclosed on defaulted loan.  Unsafe building demolished, site vacant.",Little Tokyo
170,Open,5149-010-947,208 S. Grand Ave.,Air rights,Mid-City
169,Open,5149-010-941,Grand Ave. & Gen.  Kosciuszko,Air rights,Mid-City
162,Open,5149-010-027,250 S Grand Ave,Air rights Cal Plaza,Mid-City
163,Open,5149-010-028,550 W General Thaddeus Kosciuszko Way,Air rights Cal Plaza,Bunker Hill
163,Open,5149-010-030,550 W General Thaddeus Kosciuszko Way,Air rights Cal Plaza,Exposition/University Park
163,Open,5149-010-029,550 W General Thaddeus Kosciuszko Way,Air rights Cal Plaza,Normandie 5
388,Open,6006-003-900,200 East Slauson,"also known as: 5867 South Los Angeles Street, Los Angeles CA .  Industrial property with multiple tenants.  ",Normandie 5
104,Open,5114-014-906,1034 E Martin Luther King Jr Blvd,Apartment bldg.,Normandie 5
104,Open,5114-014-907,1034 E Martin Luther King Jr Blvd,Apartment bldg.,Normandie 5
425,Open,5013-013-013,4401 CRENSHAW BLVD,"BAKEWELL HAWTHORNE LLC as owner per Assessor - location of South Los Angeles site office, keep in Risk Management list.",Normandie 5
210,Open,5414-007-026,415 W Bamboo Lane,Bamboo Plaza Parking structure,Normandie 5
39,Open,5137-013-910,1016 Valencia St,"Bill Cruz Childcare Center
Loan 872378",Normandie 5
39,Open,5137-013-908,1016 Valencia St,"Bill Cruz Childcare Center
Loan 872378",Normandie 5
39,Open,5137-013-911,1016 Valencia St,"Bill Cruz Childcare Center
Loan 872378",Adelante Eastside
39,Open,5137-013-907,1016 Valencia St,"Bill Cruz Childcare Center
Loan 872378",
398,Open,5032-004-906,4020 Buckingham Rd,"Buckingham Senior Place, acquired through foreclosure",
398,Open,5032-004-902,4020 Buckingham Rd,"Buckingham Senior Place, acquired through foreclosure",
398,Open,5032-004-901,4020 Buckingham Rd,"Buckingham Senior Place, acquired through foreclosure",
398,Open,5032-004-903,4020 Buckingham Rd,"Buckingham Senior Place, acquired through foreclosure",Los Angeles Harbor
398,Open,5032-004-904,4020 Buckingham Rd,"Buckingham Senior Place, acquired through foreclosure",Beacon Street
398,Open,5032-004-905,4020 Buckingham Rd,"Buckingham Senior Place, acquired through foreclosure",Pacific Corridor
332,Open,5123-001-900,2600 S Hoover St,Casa De Rosas - Women's Transitional Housing with 32 SROs and 18 emergency shelter beds. Deeded to CRA through foreclosure.  ,Wilshire Center / Koreatown
213,Open,5547-017-029,1552 N Schrader Blvd,"Casa Verde Apartments
Loan 872010",Los Angeles Harbor
485,Open,7455-014-033,302 W 5TH ST,"CGU CAPITAL GROUP LLC as owner per Assessor - location of L.A. Harbor site office, keep in Risk Management list.",CBD Amended
464,Open,5144-027-006,645 W 009 ST,"CIM MARKET AT 9TH AND FLOWER LLC as owner by Assessor - CRA maintains longterm ground lease, property ot availble for sale/lease.",Western Slauson
462,Open,5144-020-178,720 W 8TH ST,CIM/830 S FLOWER LLC as owner by Assessor - CRA mainatins affordability covenants on property.,Exposition/University Park
463,Open,5144-020-189,720 W 8TH ST,CIM/830 S FLOWER LLC as owner by Assessor - CRA mainatins affordability covenants on property.,City Center
484,Open,6053-006-052,225 W COLDEN AVE,COLDEN OAKS as owner per Assessor -  CRA maintains loans and covenants on property.,City Center
60,Open,5019-025-044,601 W 40Th Pl,Coliseo Housing,City Center
60,Open,5019-025-047,601 W 40Th Pl,Coliseo Housing,
60,Open,5019-025-045,601 W 40Th Pl,Coliseo Housing,Bunker Hill
60,Open,5019-025-048,601 W 40Th Pl,Coliseo Housing,Little Tokyo
60,Open,5019-025-028,601 W 40Th Pl,Coliseo Housing,Exposition/University Park
60,Open,5019-025-027,601 W 40Th Pl,Coliseo Housing,Crenshaw
60,Open,5019-025-041,601 W 40Th Pl,Coliseo Housing,Crenshaw
60,Open,5019-025-056,601 W 40Th Pl,Coliseo Housing,Crenshaw
60,Open,5019-025-050,601 W 40Th Pl,Coliseo Housing,Crenshaw
60,Open,5019-025-058,601 W 40Th Pl,Coliseo Housing,Crenshaw
60,Open,5019-025-928,601 W 40Th Pl,Coliseo Housing,Crenshaw
60,Open,5019-025-927,601 W 40Th Pl,Coliseo Housing,Mid-City
60,Open,5019-025-051,601 W 40Th Pl,Coliseo Housing,Mid-City
60,Open,5019-025-052,601 W 40Th Pl,Coliseo Housing,Mid-City
60,Open,5019-025-057,601 W 40Th Pl,Coliseo Housing,Crenshaw
60,Open,5019-025-053,601 W 40Th Pl,Coliseo Housing,Crenshaw
60,Open,5019-025-054,601 W 40Th Pl,Coliseo Housing,Crenshaw
60,Open,5019-025-046,601 W 40Th Pl,Coliseo Housing,Crenshaw
60,Open,5019-025-055,601 W 40Th Pl,Coliseo Housing,Crenshaw
60,Open,5019-025-049,601 W 40Th Pl,Coliseo Housing,Crenshaw
56,Open,5001-029-900,5215 N Figueroa St,Commercial/industrial 16 units,Crenshaw
57,Open,5001-034-900,5260 Figueroa St.,Commercial/Industrial 16 units,Crenshaw
118,Open,5137-025-904,1554 W 11Th Pl,Community Garden (small parcel),Chinatown
118,Open,5137-025-902,1554 W 11Th Pl,Community Garden (small parcel),Bunker Hill
118,Open,5137-025-903,1554 W 11Th Pl,Community Garden (small parcel),Central Industrial
118,Open,5137-025-901,1554 W 11Th Pl,Community Garden (small parcel),Central Industrial
114,Open,5115-019-907,4225 S Central Ave,"Conduit finance by the CRA/LA.  Agency is providing $1.2 mill in first deed of trust, monthly payment should be $13,845, from Developer, Dunbar Hotel.",Mid-City
114,Open,5115-019-906,4225 S Central Ave,"Conduit finance by the CRA/LA.  Agency is providing $1.2 mill in first deed of trust, monthly payment should be $13,845, from Developer, Dunbar Hotel.",Mid-City
368,Open,5134-007-913,1403 W 12Th Pl,Corner Cut,Mid-City
300,Open,7418-025-900,302 N Eubank Ave,Corner cut,Mid-City
366,Open,5123-008-909,3216 S Hoover St,Corner Cut,Crenshaw
301,Open,7424-012-900,530 N Mcfarland Ave,Corner cut,City Center
301,Open,7424-012-901,530 N Mcfarland Ave,Corner cut,Monterey Hills
373,Open,5302-007-902,5336 N Monterey Road,Corner Cut,Monterey Hills
195,Open,5301-011-918,632 E Coleman Ave,Corner cut,Monterey Hills
195,Open,5301-011-917,632 E Coleman Ave,Corner cut,City Center
303,Open,7424-013-900,801 E E St,Corner cut,City Center
29,Open,5135-017-909,1632 Burlington Avenue.,Corner Cut.,CBD Amended
478,Open,6001-014-900,5975 S WESTERN AVE,CRA in process of purchase of property from City of Los Angeles.,
470,Open,5151-015-911,255 S GRAND AVE,"CRALA as owner by Assessor, current site of Grand Promenade Project, CRA maintains bond issues for site.",CBD Amended
469,Open,5149-026-004,448 S HILL ST                         ,"Current location of Downtown site office, keep in Risk Management list. New listing.",North Hollywood
84,Open,5032-003-902,3750 W Martin Luther King Jr Blvd,Educational facility for the mentally disable and handicap,North Hollywood
15,Open,5073-018-902,2375 W Washington Blvd,Escrow has closed - Owner is leasing the premises on a month to month basis for a period not to exceed 12 months,Council District 9
15,Open,5073-018-901,2375 W Washington Blvd,Escrow has closed - Owner is leasing the premises on a month to month basis for a period not to exceed 12 months,North Hollywood
15,Open,5073-018-900,2375 W Washington Blvd,Escrow has closed - Owner is leasing the premises on a month to month basis for a period not to exceed 12 months,North Hollywood
453,Open,5138-013-061,1050 S FLOWER ST,"F C METROPOLITAN LOFTS LLC as owner per Assessor, CRA maintains ground lease, covenants and conditions on property.",North Hollywood
453,Open,5138-013-072,1050 S FLOWER ST,"F C METROPOLITAN LOFTS LLC as owner per Assessor, CRA maintains ground lease, covenants and conditions on property.",North Hollywood
453,Open,5138-013-071,1050 S FLOWER ST,"F C METROPOLITAN LOFTS LLC as owner per Assessor, CRA maintains ground lease, covenants and conditions on property.",North Hollywood
453,Open,5138-013-062,1050 S FLOWER ST,"F C METROPOLITAN LOFTS LLC as owner per Assessor, CRA maintains ground lease, covenants and conditions on property.",North Hollywood
453,Open,5138-013-060,1050 S FLOWER ST,"F C METROPOLITAN LOFTS LLC as owner per Assessor, CRA maintains ground lease, covenants and conditions on property.",North Hollywood
453,Open,5138-013-039,1050 S FLOWER ST,"F C METROPOLITAN LOFTS LLC as owner per Assessor, CRA maintains ground lease, covenants and conditions on property.",North Hollywood
453,Open,5138-013-040,1050 S FLOWER ST,"F C METROPOLITAN LOFTS LLC as owner per Assessor, CRA maintains ground lease, covenants and conditions on property.",North Hollywood
453,Open,5138-013-070,1050 S FLOWER ST,"F C METROPOLITAN LOFTS LLC as owner per Assessor, CRA maintains ground lease, covenants and conditions on property.",North Hollywood
