FileDate,recsSort,AgencyName,SecondAgencyName,AIN,AssessorID,TaxRateArea,TaxRateArea_CITY,PropertyLocation,PropertyUseCode,GeneralUseType,SpecificUseType,SpecificUseDetail1,SpecificUseDetail2,ParcelBoundaryDescription,DateNewParcelActivated
10/20/2015,168,ALAMEDA CORRIDOR EAST CONSTRUCTION AUTHORITY, ,8577012900,8577-012-900,03622,EL MONTE   ,4107 BALDWIN AVE  EL MONTE CA  91731-1707,100V,Commercial,Commercial, ,Vacant Land,TR=7007 EX OF ST LOT 76, 
10/20/2015,169,ALAMEDA CORRIDOR EAST CONSTRUCTION AUTHORITY, ,8577012903,8577-012-903,03622,EL MONTE   ,4135 BALDWIN AVE  EL MONTE CA  91731-1707,100V,Commercial,Commercial, ,Vacant Land,TR=7007 EX OF ST LOT 81, 
10/20/2015,170,ALAMEDA CORRIDOR EAST CONSTRUCTION AUTHORITY, ,8577012904,8577-012-904,03622,EL MONTE   ,4147 BALDWIN AVE  EL MONTE CA  91731-1707,010V,Residential,Single Family Residence, ,Vacant Land,TR=7007 EX OF ST LOT 84, 
10/20/2015,171,ALAMEDA CORRIDOR EAST CONSTRUCTION AUTHORITY, ,8577012908,8577-012-908,03622,EL MONTE   ,4139 BALDWIN AVE  EL MONTE CA  91731-1707,010V,Residential,Single Family Residence, ,Vacant Land,TR=7007 EX OF ST LOT 82, 
10/20/2015,172,ALAMEDA CORRIDOR EAST CONSTRUCTION AUTHORITY, ,8577012909,8577-012-909,03622,EL MONTE   ,4153 BALDWIN AVE  EL MONTE CA  91731-1707,100V,Commercial,Commercial, ,Vacant Land,TR=7007 EX OF ST LOT 85, 
10/20/2015,174,ALAMEDA CORRIDOR EAST CONSTRUCTION AUTHORITY, ,8577012911,8577-012-911,03622,EL MONTE   ,4103 BALDWIN AVE  EL MONTE CA  91731-1707,010V,Residential,Single Family Residence, ,Vacant Land,TR=7007 EX OF STS LOT 75, 
10/20/2015,175,ALAMEDA CORRIDOR EAST CONSTRUCTION AUTHORITY, ,8577014904,8577-014-904,03622,EL MONTE   ,4112 BALDWIN AVE  EL MONTE CA  91731-1708,100V,Commercial,Commercial, ,Vacant Land,TR=7007 EX OF ST LOT 98, 
10/20/2015,195,ALAMEDA CORRIDOR EAST CONSTRUCTION AUTHORITY, ,8760002907,8760-002-907,08275,INDUSTRY   ,     ,300V,Industrial,Industrial, ,Vacant Land,PM 153-100 FOR DESC SEE ASSESSOR'S MAPS POR OF LOT 2, 
10/20/2015,199,ALAMEDA CORRIDOR EAST CONSTRUCTION AUTHORITY, ,8760003903,8760-003-903,08281,unincorporated,19022 SAN JOSE AVE  LA PUENTE CA  91748-1412,300V,Industrial,Industrial, ,Vacant Land,FOSTER AND ROWLAND TR W 93.62 FT OF LOT 142, 
10/20/2015,200,ALAMEDA CORRIDOR EAST CONSTRUCTION AUTHORITY, ,8760003904,8760-003-904,08281,unincorporated,     ,300V,Industrial,Industrial, ,Vacant Land,FOSTER AND ROWLAND TR W 93.62 FT MEASURED ON N LN OF LOT 143, 
10/20/2015,204,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,5167006913,5167-006-913,00007,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,TR=24393 FOR DESC SEE ASSESSOR'S MAPS POR OF LOT 3, 
10/20/2015,208,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,6179001903,6179-001-903,02820,COMPTON    ,     ,300V,Industrial,Industrial, ,Vacant Land,COMPTON FOR DESC SEE ASSESSOR'S MAPS POR OF LOT 12, 
10/20/2015,211,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,6302009924,6302-009-924,10716,VERNON,     ,300V,Industrial,Industrial, ,Vacant Land,FOR DESC SEE ASSESSOR'S MAPS POR OF NW 1/4 SEC 10 T2S R13W, 
10/20/2015,223,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7315002902,7315-002-902,01002,CARSON     ,     ,300V,Industrial,Industrial, ,Vacant Land,"PM 270-36-41 LAND DESC IN DOC 1155680, 030423 POR OF LOT 2", 
10/20/2015,224,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7315019900,7315-019-900,00014,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,TR=7204 POR OF LOT 1, 
10/20/2015,234,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7425024909,7425-024-909,00400,LOS ANGELES,1620 E PACIFIC COAST HWY  LOS ANGELES CA  90744-2819,010V,Residential,Single Family Residence, ,Vacant Land,TR=2194 EX OF ST LOT 10, 
10/20/2015,237,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7425024912,7425-024-912,00400,LOS ANGELES,1628 E PACIFIC COAST HWY  LOS ANGELES CA  90744-2819,010V,Residential,Single Family Residence, ,Vacant Land,TR=2194 EX OF ST LOT 13, 
10/20/2015,238,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7425024913,7425-024-913,00400,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,TR=2194 EX OF ST LOT 14, 
10/20/2015,239,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7425024914,7425-024-914,00400,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,TR=2194 EX OF ST LOT 15, 
10/20/2015,240,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7425024915,7425-024-915,00400,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,TR=2194 EX OF ST LOT 16, 
10/20/2015,241,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7425025900,7425-025-900,00400,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,TR=2194 EX OF ST LOT 23, 
10/20/2015,242,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7425025901,7425-025-901,00400,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,TR=2194 EX OF ST LOT 24, 
10/20/2015,243,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7425025902,7425-025-902,00400,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,TR=2194 EX OF ST LOT 19, 
10/20/2015,253,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7426028905,7426-028-905,00400,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,"TR=13038 LAND DESC IN DOC 842391,010516 POR OF LOT 1", 
10/20/2015,254,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7428001915,7428-001-915,00014,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,"TR=5702 LAND DESC IN DOC 471608,060303 POR OF LOT 27 BLK 6", 
10/20/2015,259,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7428022905,7428-022-905,00014,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,DOMINGUEZ HARBOR TRACT LOT 1 BLK 11, 
10/20/2015,260,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7428026916,7428-026-916,00014,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,TR=2016*(EX OF STS) LOT    1 BLK    3, 
10/20/2015,261,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7428026917,7428-026-917,00014,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,TR=2016*POR (EX OF ST) NW DOMINGUEZ CHANNEL (PER FM 20160-1) OF LOT 2 BLK 3, 
10/20/2015,262,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7428026918,7428-026-918,00014,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,TR=2016*POR NW DOMINGUEZ CHANNEL (PER FM 20160-1) OF LOTS 3 AND 4 BLK 3, 
10/20/2015,263,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7428026919,7428-026-919,00014,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,TR=2016*POR NW DOMINGUEZ CHANNEL (PER FM 20160-1) OF LOT    5 BLK    3, 
10/20/2015,264,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7428026920,7428-026-920,00014,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,TR=2016*POR NW DOMINGUEZ CHANNEL (PER FM 20160-1) OF LOT    6 BLK    3, 
10/20/2015,265,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7428026922,7428-026-922,00014,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,TR=2016*POR NW DOMINGUEZ CHANNEL (PER FM 20160-1) OF LOT    8 BLK    3, 
10/20/2015,266,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7428026923,7428-026-923,00014,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,TR=2016*POR NW DOMINGUEZ CHANNEL (PER FM 20160-1) OF LOT    9 BLK    3, 
10/20/2015,267,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7428026924,7428-026-924,00014,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,TR=2016*POR NW DOMINGUEZ CHANNEL (PER FM 20160-1) OF LOT   10 BLK    3, 
10/20/2015,268,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7428026925,7428-026-925,00014,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,TR=2016*POR NW DOMINGUEZ CHANNEL (PER FM 20160-1) OF LOT   11 BLK    3, 
10/20/2015,269,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7428026926,7428-026-926,00014,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,TR=2016*POR NW DOMINGUEZ CHANNEL (PER FM 20160-1) OF LOT   12 BLK    3, 
10/20/2015,270,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7428026927,7428-026-927,00014,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,TR=2016*POR NW DOMINGUEZ CHANNEL (PER FM 20160-1) OF LOT   13 BLK    3, 
10/20/2015,271,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7428026928,7428-026-928,00014,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,TR=2016*POR NW DOMINGUEZ CHANNEL (PER FM 20160-1) OF LOT   14 BLK    3, 
10/20/2015,272,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7428026941,7428-026-941,00014,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,TR=2016 THAT PART IN ACTA IN LOT 7 BLK 3, 
10/20/2015,273,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7428028958,7428-028-958,00014,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,TR=2016 FOR DESC SEE ASSESSOR'S MAPS POR OF LOTS 1 AND 2 BLK 4, 
10/20/2015,274,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7428028960,7428-028-960,00014,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,TR=2016 FOR DESC SEE ASSESSOR'S MAPS POR OF LOT 3 BLK 4, 
10/20/2015,275,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7428028962,7428-028-962,00014,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,TR=2016 THAT PART IN  ACTA IN LOT 4 BLK 4, 
10/20/2015,278,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7428028967,7428-028-967,00014,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,TR=2016 FOR DESC SEE ASSESSOR'S MAPS POR OF LOT 6 BLK 4, 
10/20/2015,279,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7428028969,7428-028-969,00014,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,TR=2016 FOR DESC SEE ASSESSOR'S MAPS POR OF LOT 7 BLK 4, 
10/20/2015,280,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7428028971,7428-028-971,00014,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,TR=2016 FOR DESC SEE ASSESSOR'S MAPS POR OF LOT 8 BLK 4, 
10/20/2015,282,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7428029932,7428-029-932,00014,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,TR=2016 THAT PART IN ACTA IN LOT 17 BLK 10, 
10/20/2015,283,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7428029934,7428-029-934,00014,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,TR=2016 THAT PART IN ACTA IN LOTS 18 AND 19 BLK 10, 
10/20/2015,284,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7428029936,7428-029-936,00014,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,TR=2016 THAT PART IN ACTA IN LOT 20 BLK 10, 
10/20/2015,285,ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY, ,7428029938,7428-029-938,00014,LOS ANGELES,     ,300V,Industrial,Industrial, ,Vacant Land,TR=2016 THAT PART IN ACTA IN LOT 21 BLK 10, 
