BID Name,APN,Site Addr,Current Asmt
Highland Park,5492002901,120 Avenue 58,$290.38
Highland Park,5492011900,117 Avenue 58,$995.45
Highland Park,5492011901,117 Avenue 58,$995.45
Highland Park,5492012900,124 Avenue 59,"$3,088.76"
Highland Park,5492013900,5921 N Figueroa St,"$2,546.55"
Highland Park,5492024900,6000 N Figueroa St,"$5,956.90"
Highland Park,5492025900,6103 N Figueroa St,"$21,452.57"
Highland Park,5492025901,6145 N Figueroa St,"$8,192.48"
,21,,"$66,350.92"
,,,
Historic Downtown,5149023900,No Site Address,$799.76
Historic Downtown,5149023901,No Site Address,$945.81
Historic Downtown,5149023902,No Site Address,"$1,225.87"
Historic Downtown,5149023903,No Site Address,"$2,112.12"
Historic Downtown,5149023904,426 S Spring St,"$2,402.04"
Historic Downtown,5149023905,No Site Address,"$1,598.14"
Historic Downtown,5149036907,514 Spring St,"$5,685.81"
,7,,"$14,769.55"
,,,
Hollywood Entertainment,5546008900,NO SITE ADDRESS,"$9,992.11"
Hollywood Entertainment,5546009904,1625 N VINE ST,"$11,802.18"
Hollywood Entertainment,5547004901,1710 N CHEROKEE AVE,"$2,282.39"
Hollywood Entertainment,5547004902,1730 N CHEROKEE AVE,"$2,168.27"
Hollywood Entertainment,5547004903,1734 N CHEROKEE AVE,"$1,901.99"
Hollywood Entertainment,5547004904,1700 N CHEROKEE AVE,"$14,014.82"
Hollywood Entertainment,5547009900,1746 N LAS PALMAS AVE,"$10,288.17"
Hollywood Entertainment,5547015909,6567 SELMA AVE,"$8,804.96"
Hollywood Entertainment,5547016906,6518 HOLLYWOOD BLVD,"$6,053.65"
Hollywood Entertainment,5547016907,1637 WILCOX AVE,"$2,620.39"
Hollywood Entertainment,5547016908,1633 WILCOX AVE,"$4,892.01"
Hollywood Entertainment,5547016909,1638 N HUDSON AVE,"$4,662.94"
Hollywood Entertainment,5548004904,NO SITE ADDRESS,"$27,850.52"
Hollywood Entertainment,5548004905,NO SITE ADDRESS,"$31,248.89"
Hollywood Entertainment,5548004906,NO SITE ADDRESS,"$16,427.81"
Hollywood Entertainment,5548004911,NO SITE ADDRESS,"$15,353.68"
Hollywood Entertainment,5548004912,1746 N ORANGE DR,"$2,274.40"
Hollywood Entertainment,5548004913,NO SITE ADDRESS,$63.45
Hollywood Entertainment,5548004914,NO SITE ADDRESS,$105.51
Hollywood Entertainment,5548004916,NO SITE ADDRESS,$190.60
Hollywood Entertainment,5548004917,NO SITE ADDRESS,$143.42
Hollywood Entertainment,5548004918,NO SITE ADDRESS,$81.29
Hollywood Entertainment,5548004920,NO SITE ADDRESS,$25.19
Hollywood Entertainment,5548004921,NO SITE ADDRESS,$80.85
Hollywood Entertainment,5548004922,NO SITE ADDRESS,$77.71
Hollywood Entertainment,5548004923,NO SITE ADDRESS,$460.82
Hollywood Entertainment,5548004924,6801 HOLLYWOOD BLVD,"$7,731.93"
,27,,"$181,599.95"
,,,
Hollywood Media,5532014901,6640 W Romaine St,"$4,068.95"
Hollywood Media,5533009900,1110 N Cole Ave,"$4,413.52"
Hollywood Media,5533033902,6014 Waring Avw,"$4,486.28"
,3,,"$12,968.75"
,,,
Larchmont,5515018900,211 N Larchmont Blvd,"$5,720.18"
,1,,"$5,720.18"
,,,
Lincoln Heights,5204002900,*NO SITE ADDRESS*,"$1,888.50"
Lincoln Heights,5204004901,154 S AVENUE 24,"$2,885.26"
Lincoln Heights,5204005901,216 S AVENUE 24,"$3,010.71"
Lincoln Heights,5204006900,*NO SITE ADDRESS*,"$2,414.25"
Lincoln Heights,5204011903,*NO SITE ADDRESS*,"$22,536.77"
Lincoln Heights,5204012900,*NO SITE ADDRESS*,"$1,391.74"
Lincoln Heights,5204014900,*NO SITE ADDRESS*,"$6,443.30"
Lincoln Heights,5204015901,2416 WORKMAN ST,"$2,508.92"
Lincoln Heights,5204016900,*NO SITE ADDRESS*,"$1,003.57"
Lincoln Heights,5204016901,*NO SITE ADDRESS*,"$1,003.57"
Lincoln Heights,5208031900,*NO SITE ADDRESS*,"$1,332.47"
Lincoln Heights,5447015901,140 N AVENUE 19,"$14,665.00"
Lincoln Heights,5447018900,1831 PASADENA AVE,"$3,255.41"
Lincoln Heights,5447018901,*NO SITE ADDRESS*,"$2,185.14"
Lincoln Heights,5447020900,*NO SITE ADDRESS*,"$1,119.61"
Lincoln Heights,5447020901,1771 N SPRING ST,"$4,706.15"
Lincoln Heights,5447026900,*NO SITE ADDRESS*,"$5,172.68"
Lincoln Heights,5447026901,219 S AVENUE 18,$565.22
Lincoln Heights,5447026902,223 S AVENUE 18,$565.22
Lincoln Heights,5447027906,235 S AVENUE 17,"$2,400.34"
Lincoln Heights,5447027909,*NO SITE ADDRESS*,$163.15
,21,,"$81,216.98"
,,,
Lincoln Hts Industrial,5205002901,No site address,"$1,074.90"
Lincoln Hts Industrial,5205002902,No site address,"$3,286.96"
Lincoln Hts Industrial,5205003901,No site address,"$1,914.66"
Lincoln Hts Industrial,5205012900,No site address,$889.00
Lincoln Hts Industrial,5205012901,No site address,$461.06
,5,,"$7,626.58"
,,,
North Hollywood,2350016901,5320 Tujunga Ave,"$2,548.61"
North Hollywood,2350017901,No site Address,"$1,896.26"
North Hollywood,2353007900,5108 Lankershim Blvd,$837.60
,3,,"$5,282.47"
,,,
Pacific Palisades,4412002900,No site Address,$585.78
,1,,$585.78
,,,
San Pedro - Historic Waterfront,7440030910,550 S Sampson Way,"$2,760.00"
San Pedro - Historic Waterfront,7440030911,No site address,$628.15
San Pedro - Historic Waterfront,7440030917,No site address,$686.31
San Pedro - Historic Waterfront,7440030918,No site address,$0.00
San Pedro - Historic Waterfront,7440031910,No site address,$0.00
San Pedro - Historic Waterfront,7451037901,643 S Pacific Ave,"$1,528.75"
San Pedro - Historic Waterfront,7455004900,445 W 5th St,$628.38
San Pedro - Historic Waterfront,7455004901,437 W 5th St,$628.38
San Pedro - Historic Waterfront,7455004902,No site address,$204.69
San Pedro - Historic Waterfront,7455004903,478 W 6th St,"$4,799.43"
San Pedro - Historic Waterfront,7455005900,444 W 7th St,$524.56
San Pedro - Historic Waterfront,7455005901,No site address,"$1,049.23"
San Pedro - Historic Waterfront,7455005902,No site address,$262.28
San Pedro - Historic Waterfront,7455005903,424 W 7th St,$524.13
San Pedro - Historic Waterfront,7455005904,430 W 7th St,$524.13
San Pedro - Historic Waterfront,7455005905,438 W 7th St,$524.13
San Pedro - Historic Waterfront,7455006900,478 W 8th St,"$1,639.46"
San Pedro - Historic Waterfront,7455007900,473 W 8th St,"$1,770.38"
San Pedro - Historic Waterfront,7455007902,456 W 9th St,"$1,770.38"
San Pedro - Historic Waterfront,7455007903,457 W 8th St,$730.23
San Pedro - Historic Waterfront,7455010902,393 W 8th St,"$4,598.52"
San Pedro - Historic Waterfront,7455010903,No site address,"$5,949.40"
San Pedro - Historic Waterfront,7455013902,500 S Mesa St,$746.40
San Pedro - Historic Waterfront,7455013903,514 S Mesa St,$422.70
San Pedro - Historic Waterfront,7455013904,392 W 6th St,"$1,268.66"
San Pedro - Historic Waterfront,7455025900,700 S Beacon St,"$8,349.22"
San Pedro - Historic Waterfront,7455025903,No site address,"$3,774.53"
San Pedro - Historic Waterfront,7455026900,638 S Beacon St,"$13,379.98"
San Pedro - Historic Waterfront,7455026939,603 S Harbor Blvd,"$1,094.91"
San Pedro - Historic Waterfront,7456011900,No site address,"$6,476.00"
,30,,"$67,243.32"
,,,
South Park,5134007933,S Figueroa St,"$47,297.25"
South Park,5138016912,1201 S Figueroa St,"$25,625.25"
South Park,5138016914,No site address,"$11,954.25"
South Park,5138025900,1258 S Figueroa St,"$5,442.47"
,4,,"$90,319.22"
,,,
South Park II,5134025900,1343 S Olive St,"$2,188.26"
South Park II,5139019900,1150 S Hill St,"$19,175.32"
,2,,"$21,363.58"
,,,
Studio City,2367017900,12229 Ventura Blvd,$453.58
Studio City,2367017901,No site address,"$1,587.18"
Studio City,2367017902,No site address,$254.80
,3,,"$2,295.56"
,,,
Sunset & Vine,5546014900,6513 De Longpre Ave,"$2,735.19"
Sunset & Vine,5547018901,1548 Schrader Blvd,"$2,044.49"
Sunset & Vine,5547026900,No site address,"$2,468.05"
Sunset & Vine,5547026901,No site address,$969.94
Sunset & Vine,5547026902,No site address,"$2,581.85"
,5,,"$10,799.52"
,,,
Westwood,4363018904,1036 Broxton Ave,"$18,347.97"
,1,,"$18,347.97"
,,,
Venice Beach,4226001900,26 W Market St,"$51,978.98"
Venice Beach,4226001901,No Site Address,"$30,484.93"
Venice Beach,4226002900,2300 Ocean Front Walk,"$71,432.90"
Venice Beach,4238002900,1234 S Pacific Ave,"$27,614.22"
Venice Beach,4238014900,"1610, 1608 S Pacific Ave","$7,440.29"
Venice Beach,4238018900,No Site Address,"$109,330.00"
Venice Beach,4238024900,2102 S Pacific Ave,"$16,166.65"
Venice Beach,4238024902,128 E Venice Blvd,"$8,215.66"
Venice Beach,4238024903,206 N Venice Blvd,"$2,943.42"
Venice Beach,4238024905,216 E Venice Blvd,"$2,629.74"
Venice Beach,4238024906,302 E Venice Blvd,"$1,314.87"
Venice Beach,4238024907,319 E Venice Blvd,"$24,976.40"
Venice Beach,4238024908,2106 S Canal St & 200 E Venice Blvd,"$4,069.87"
Venice Beach,4238024909,No Site Address,$703.20
Venice Beach,4238024910,210 N Venice Blvd,"$1,314.87"
Venice Beach,4238024911,125 S Venice Blvd,"$4,456.56"
Venice Beach,4238025901,No Site Address,"$4,073.60"
Venice Beach,4238025902,No Site Address,"$22,171.43"
Venice Beach,4238025903,No Site Address,"$6,582.00"
Venice Beach,4286027902,No Site Address,"$17,050.35"
Venice Beach,4286028902,No Site Address,"$13,038.98"
Venice Beach,4286029902,No Site Address,"$17,922.96"
Venice Beach,4286030903,No Site Address,"$26,849.63"
Venice Beach,4288029900,No Site Address,"$1,074.75"
,24,,"$473,836.26"
